country_region,Total,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
England,16272,0,0,5,1,4,3,1,5,3,1,7,9,15,23,28,46,39,59,57,96,96,139,129,165,225,301,341,344,586,581,329,569,581,625,715,686,674,743,828,716,683,719,670,630,598,637,596,537,488,428,390,119
East Of England,1789,0,0,3,1,0,1,0,0,1,0,0,0,1,2,1,1,1,5,3,3,13,13,11,17,22,33,35,26,50,70,30,52,65,65,60,70,71,89,108,85,73,90,98,75,57,81,70,78,53,53,41,12
London,4211,0,0,0,0,1,1,1,0,1,0,4,2,6,13,9,16,19,24,19,41,46,46,34,56,89,119,124,122,180,168,116,167,154,177,210,170,178,190,212,176,152,158,147,147,120,130,129,81,82,87,60,26
Midlands,3241,0,0,1,0,0,0,0,3,0,0,1,5,5,4,5,15,7,12,10,24,11,30,32,38,46,60,74,83,136,120,63,127,130,117,136,154,134,117,176,131,125,137,132,111,114,144,89,108,107,79,72,16
North East And Yorkshire,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,6,4,6,6,9,7,17,18,26,35,63,66,37,58,69,88,97,92,85,92,98,101,107,88,81,81,101,80,97,81,84,71,88,25
North West,2371,0,0,0,0,1,0,0,1,0,0,0,2,2,1,4,3,2,4,6,10,10,14,15,19,18,29,31,30,65,66,34,82,88,84,97,96,93,125,109,109,101,124,112,114,121,108,129,81,98,61,49,22
South East,1839,0,0,1,0,2,1,0,1,1,1,1,0,1,1,7,8,7,9,9,10,4,21,20,21,24,31,37,27,70,65,35,60,55,66,76,73,81,91,81,95,84,81,79,77,61,65,53,76,43,51,63,13
South West ,748,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,4,4,6,9,8,7,9,11,14,21,22,26,14,23,20,28,39,31,32,39,44,19,41,41,21,25,24,29,29,32,21,26,17,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
